aX,aY,aZ,gX,gY,gZ
-0.439,-0.035,0.595,-36.499,18.005,111.633
-0.377,0.027,0.806,-29.907,0.488,95.520
-0.309,0.050,0.984,-22.156,-19.592,73.914
-0.229,0.025,1.156,-12.268,-31.250,51.270
-0.155,-0.000,1.274,-6.592,-31.433,33.936
-0.079,-0.059,1.302,-7.019,-23.804,22.705
0.037,-0.060,1.252,-10.254,-11.230,16.235
0.097,-0.046,1.152,-14.038,0.793,15.808
0.124,-0.029,1.054,-15.747,10.742,17.151
0.157,-0.026,0.985,-16.296,13.977,17.212
0.178,-0.036,0.929,-16.541,7.812,18.311
0.160,-0.018,0.879,-14.160,-1.160,18.372
0.139,0.017,0.875,-9.460,-4.333,18.616
0.135,0.006,0.919,-5.493,-1.343,20.935
0.143,0.015,0.981,-5.066,3.174,24.658
0.075,0.037,0.995,-8.728,6.653,29.175
0.028,0.093,0.977,-13.733,9.460,33.447
