aX,aY,aZ,gX,gY,gZ
0.066,-0.002,1.353,5.920,-577.759,-96.375
0.020,0.035,1.308,-24.902,-547.913,-57.617
-0.068,0.059,1.228,-41.687,-504.395,-21.973
-0.181,0.079,1.158,-42.786,-436.707,0.610
-0.293,0.069,1.095,-30.396,-353.760,13.855
-0.398,0.051,1.072,-8.606,-266.907,23.743
-0.503,0.053,1.082,18.005,-193.726,30.884
-0.543,0.073,1.110,37.903,-145.142,32.898
-0.553,0.070,1.153,43.701,-121.826,29.541
-0.506,0.040,1.197,41.992,-109.985,21.667
-0.412,0.004,1.200,36.926,-102.417,10.559
-0.326,-0.032,1.181,28.564,-96.252,1.038
-0.259,-0.078,1.164,22.644,-84.412,-2.136
-0.223,-0.119,1.161,21.240,-65.369,-0.488
-0.221,-0.137,1.138,24.475,-40.283,3.418
-0.227,-0.149,1.145,30.396,-13.550,6.714
-0.234,-0.132,1.148,33.203,5.920,7.629
-0.238,-0.108,1.137,30.579,13.916,6.653
-0.223,-0.083,1.120,21.851,11.047,3.967
-0.198,-0.052,1.093,11.719,4.089,0.366
-0.150,-0.044,1.072,3.723,-0.732,-2.014
